month,predicted_pd,true_outcome,recommend_decline,overridden
1,0.0238226373293639,0,False,False
1,0.14827488050750776,1,False,False
1,0.058249875436801796,0,False,False
1,0.11677277790890236,0,False,False
1,0.17924449341144247,0,True,False
1,0.0044435577196395475,0,False,False
1,0.08767000115926751,1,False,False
1,0.10519008738706359,0,False,False
1,0.16014643463870862,0,True,False
1,0.09896060826794038,0,False,False
1,0.08358932986702776,0,False,False
1,0.045462708360425916,0,False,False
1,0.217867852106753,0,True,False
1,0.08660540306344923,0,False,False
1,0.035580025097648786,0,False,False
1,0.05442376552049564,0,False,False
1,0.01824985781866218,0,False,False
1,0.09573517030926033,0,False,False
1,0.08902274114402794,1,False,False
1,0.05000846149796984,0,False,False
1,0.03083430073964579,0,False,False
1,0.06046244965150803,0,False,False
1,0.0730083924600322,0,False,False
1,0.07427390385457075,0,False,False
1,0.04884118884054181,1,False,False
1,0.055356739369756,0,False,False
1,0.06530530019546038,1,False,False
1,0.09052161657753532,0,False,False
1,0.0679289745233157,0,False,False
1,0.07259718797685236,0,False,False
1,0.1270007080378908,0,False,False
1,0.08180628479715343,0,False,False
1,0.09552167003369394,0,False,False
1,0.11144421727016401,1,False,False
1,0.05852113122793515,1,False,False
1,0.05942136488487573,0,False,False
1,0.03545815860028272,0,False,False
1,0.17561527797413753,0,True,False
1,0.04341946184335998,0,False,False
1,0.05234399042155192,0,False,False
1,0.08201119378819664,0,False,False
1,0.056681062796559004,0,False,False
1,0.09795218451716173,0,False,False
1,0.048274447773143034,0,False,False
1,0.10152842142257586,0,False,False
1,0.20121761045041534,0,True,False
1,0.05230410630119262,0,False,False
1,0.04048730655976629,0,False,False
1,0.14235148153064522,1,False,False
1,0.11005092920660235,0,False,False
1,0.019831512533925826,0,False,False
1,0.08348712513796695,0,False,False
1,0.07557557431806555,0,False,False
1,0.0842352259912544,0,False,False
1,0.07491087066289458,0,False,False
1,0.013057735265473713,0,False,False
1,0.19028342718642993,1,True,False
1,0.02109347314426217,0,False,False
1,0.002001949394004915,0,False,False
1,0.12030011020254905,0,False,False
1,0.004309643868832928,0,False,False
1,0.133807831525776,0,False,False
1,0.06421101692797505,0,False,False
1,0.13489036978268587,0,False,False
1,0.020549083466077506,0,False,False
1,0.052901840151471764,0,False,False
1,0.13922929190510197,0,False,False
1,0.04778227404114916,0,False,False
1,0.07087215365104757,0,False,False
1,0.011668217460675742,0,False,False
1,0.18156830771860502,0,True,False
1,0.04108942398213849,0,False,False
1,0.09200083196736532,0,False,False
1,0.06448529442059162,0,False,False
1,0.07643182782590406,0,False,False
1,0.06295863020020681,0,False,False
1,0.13112796779772723,0,False,False
1,0.14578722489840568,0,False,False
1,0.13170601159256856,0,False,False
1,0.013149664649978377,0,False,False
1,0.07236942014070814,0,False,False
1,0.008799399284212802,0,False,False
1,0.2610685981807108,0,True,False
1,0.13044735294163862,0,False,False
1,0.24095772857560732,0,True,False
1,0.05967998749792259,0,False,False
1,0.038920340639083506,0,False,False
1,0.06897632279001441,0,False,False
1,0.17631969573664122,0,True,False
1,0.04382458582673596,0,False,False
1,0.026618304032728527,0,False,False
1,0.14530376668688397,0,False,False
1,0.037949958322207156,0,False,False
1,0.014947187013717582,0,False,False
1,0.015190656386607099,0,False,False
1,0.018000815190479733,0,False,False
1,0.0288339032679313,0,False,False
1,0.22817003862255714,0,True,False
1,0.08694646578841365,0,False,False
1,0.08768905249096891,0,False,False
1,0.045796614415185996,0,False,False
1,0.11947718162395167,0,False,False
1,0.07256960969792521,0,False,False
1,0.10532135074141435,0,False,False
1,0.17143259346539508,0,True,False
1,0.056641583479417036,0,False,False
1,0.1031257708133238,0,False,False
1,0.04679675898805678,0,False,False
1,0.07701894606944049,0,False,False
1,0.03829001090504758,0,False,False
1,0.12148250552854109,0,False,False
1,0.06784479725077223,0,False,False
1,0.19466574588248328,0,True,False
1,0.05794952845425893,0,False,False
1,0.04254455558592259,0,False,False
1,0.013859524907520612,0,False,False
1,0.031994761218854174,0,False,False
1,0.10048489375239757,0,False,False
1,0.045148373946650985,0,False,False
1,0.08416531933402921,0,False,False
1,0.09100559934304576,0,False,False
1,0.021926661153206007,0,False,False
1,0.05208765366009951,0,False,False
1,0.05963950836707027,0,False,False
1,0.04096647398223503,0,False,False
1,0.0698791291748762,0,False,False
1,0.1146607855658657,0,False,False
1,0.21051652995215217,0,True,False
1,0.06937214147860349,0,False,False
1,0.02232517332154309,0,False,False
1,0.0633881457042664,0,False,False
1,0.20409255429793086,0,True,False
1,0.04269332473587046,0,False,False
1,0.018196083791216452,0,False,False
1,0.04352985207048573,0,False,False
1,0.13827864860086495,0,False,False
1,0.03999595005779492,0,False,False
1,0.0330357099126733,1,False,False
1,0.08591382869670047,0,False,False
1,0.07124292436861618,0,False,False
1,0.10978034449747538,0,False,False
1,0.1120061830198889,0,False,False
1,0.10668136810827406,0,False,False
1,0.03811078207352817,0,False,False
1,0.008421834319195477,0,False,False
1,0.037787527121164816,0,False,False
1,0.06897137992255226,0,False,False
1,0.1500198445845772,0,True,False
1,0.018012161984269658,0,False,False
1,0.0478891780417817,0,False,False
1,0.20951540401328958,0,True,False
1,0.027294664649678887,0,False,False
1,0.05600275117736168,0,False,False
1,0.051152133535580735,0,False,False
1,0.09450050558875579,1,False,False
1,0.1792403840786876,0,True,False
1,0.022873879499375676,0,False,False
1,0.1481824595812297,0,False,False
1,0.07378487430437908,0,False,False
1,0.05685117522610297,0,False,False
1,0.04204391106499837,0,False,False
1,0.1312744569013951,0,False,False
1,0.06230041688742685,0,False,False
1,0.018662183395140777,0,False,False
1,0.1707853502182112,0,True,False
1,0.20052789669270202,0,True,False
1,0.04154397496610323,0,False,False
1,0.03815913052798952,0,False,False
1,0.1386504532609222,0,False,False
1,0.1095958111818615,0,False,False
1,0.0606649737151139,0,False,False
1,0.043277913514680265,0,False,False
1,0.07580881695080405,0,False,False
1,0.16710281760333245,0,True,False
1,0.06077321900508232,0,False,False
1,0.07177262919338004,0,False,False
1,0.06485587609525097,0,False,False
1,0.024359713770801768,0,False,False
1,0.07843473219923507,0,False,False
1,0.12777408751197064,0,False,False
1,0.01206819199966904,0,False,False
1,0.13499562309847982,0,False,False
1,0.15179934454234612,0,True,False
1,0.06431564124764962,0,False,False
1,0.03664193812993893,0,False,False
1,0.033188675876822005,0,False,False
1,0.03474081952323516,0,False,False
1,0.05381241252211051,0,False,False
1,0.12782211016960615,0,False,False
1,0.04744199275896602,0,False,False
1,0.07669789146506527,0,False,False
1,0.16446200651934803,1,True,False
1,0.07852258365728745,0,False,False
1,0.08451136832323285,0,False,False
